Month-Year,Demand Charge ($),Original Demand Charge ($),Billing Period,Energy Charge ($),Original Energy Charge ($)
2025-01,712.18,827.27,2,,
2025-01,,,3,3978.84,3974.94
2025-02,700.33,849.15,2,,
2025-02,,,3,3533.98,3539.87
2025-03,735.86,896.31,2,,
2025-03,,,3,4000.10,3994.57
2025-04,848.28,1116.62,2,,
2025-04,,,3,4582.65,4557.07
2025-05,1010.75,1305.92,2,,
2025-05,,,3,5179.98,5163.56
2025-06,3700.85,5237.05,1,,
2025-06,1714.25,1495.75,2,,
2025-06,,,3,5938.92,5921.31
2025-07,3894.25,5482.91,1,,
2025-07,1593.83,1565.97,2,,
2025-07,,,3,6799.87,6763.15
2025-08,3649.07,5422.31,1,,
2025-08,1603.35,1548.66,2,,
2025-08,,,3,6333.05,6294.74
2025-09,3375.78,4761.79,1,,
2025-09,1277.54,1370.35,2,,
2025-09,,,3,5956.81,5938.39
2025-10,861.63,1155.20,2,,
2025-10,,,3,4623.46,4604.04
2025-11,832.13,1160.89,2,,
2025-11,,,3,4364.17,4349.46
2025-12,765.12,869.89,2,,
2025-12,,,3,4274.53,4269.82
